left,left,down,right,down,right,up,up,down,left,no response,right,up,up,down,left
left,left,down,right,down,right,up,up,down,left,no response,right,up,up,down,left
left,up,down,left,right,up,down,down,right,right,right,left,left,up,up,down
left,left,down,right,down,right,up,up,down,left,no response,right,up,up,down,left
left,up,down,left,right,up,down,down,right,right,right,left,left,up,up,down
up,no response,left,down,right,down,up,right,left,down,left,left,right,right,left,right
left,left,down,right,down,right,up,up,down,left,no response,right,up,up,down,left
left,up,down,left,right,up,down,down,right,right,right,left,left,up,up,down
up,no response,left,down,right,down,up,right,left,down,left,left,right,right,left,right
left,left,down,up,no response,left,left,up,up,down,right,up,right,down,down,down
left,left,down,right,down,right,up,up,down,left,no response,right,up,up,down,left
left,up,down,left,right,up,down,down,right,right,right,left,left,up,up,down
up,no response,left,down,right,down,up,right,left,down,left,left,right,right,left,right
left,left,down,up,no response,left,left,up,up,down,right,up,right,down,down,down
right,down,no response,right,down,up,left,down,left,left,up,up,up,right,right,down
left,left,down,right,down,right,up,up,down,left,no response,right,up,up,down,left
left,up,down,left,right,up,down,down,right,right,right,left,left,up,up,down
up,no response,left,down,right,down,up,right,left,down,left,left,right,right,left,right
left,left,down,up,no response,left,left,up,up,down,right,up,right,down,down,down
right,down,no response,right,down,up,left,down,left,left,up,up,up,right,right,down
up,down,right,right,left,left,down,left,down,right,right,up,up,down,up,left
